Symbol,Exchange
INDGROAS.MC,MCE
^NQCH50N,NIM
^HFSLVT,SNP
08RE.Z,ZRH
FPABP.PA,PAR
S2PGR.PA,PAR
DE000SL0CRR8.SG,STU
^SPXDBIUT,SNP
DE000SL0CQT6.SG,STU
^DWCGFN,DJI
^SCHB-NV,ASE
^QULL-CP,ASE
^XBI-IV,ASE
SBO1G.PA,PAR
^RNSCCJPTR,WCB
07TI.Z,ZRH
PZ531.SW,EBS
Q15J.Z,ZRH
^LT50LG,NYS
OTE.TW,TAI
09LW.Z,ZRH
^MKOR-EU,ASE
KOSPI-24.KS,KSC
^MGK-TC,ASE
^EAGL-TC,ASE
04G6.Z,ZRH
ZSN4D.PA,PAR
^IDCT20RT,NYS
DE000SL0EL05.SG,STU
^IVRS-IV,ASE
^BET-FI.RO,BVB
^CMDT-EU,ASE
^SISRE,WCB
^NQUSM101010N,NIM
94M8.Z,ZRH
^NQASPA3030N,NIM
IX0161.TWO,TWO
000912.SS,SHH
^IQRA-IV,ASE
^SPMCICP,SNP
^NOMXSCSEGI,STO
^TRESTATTEUR,NIM
SSINP.PA,PAR
DE000SL0LPU7.SG,STU
4N7W.DE,GER
^SPGXPAEP,SNP
ELUKNUK.L,FSI
^SPMO-TC,ASE
^XLK-EU,ASE
^NQTH15T,NIM
DE000SL0GQ40.SG,STU
DE000SL0MAN2.SG,STU
^SPJPCEJP,SNP
^FBZ-TC,ASE
^CERY-EU,ASE
SDD13Y.SW,EBS
FCNBCG4020.FGI,FGI
^NQEMASIAT,NIM
^NQJP4020N,NIM
^FNDE-NV,ASE
DE000SL0GQ81.SG,STU
^GDMEURTR,NYS
^NYFSGBCT,NYS
^SP4GRPUN,SNP
DE000SL0CLB5.SG,STU
DE000SL0KH03.SG,STU
0504.Z,ZRH
08OF.Z,ZRH
OYAKG_CFCNTLTL.IS,IST
^BMED-NV,ASE
NOV242.SW,EBS
^NQVWSC,NIM
^FEMS-IV,ASE
MWIG40TR.WA,WSE
^XSW-NV,ASE
^SGEPFQBU,SNP
Q783.Z,ZRH
^NQDMASPA5520LM,NIM
^NDXEAUD,NIM
^NYSACJP,NYS
Q13W.Z,ZRH
^DJCILC,DJI
^EUSC-EU,ASE
^SPSS60UN,SNP
DE000SL0KX45.SG,STU
^BUFS-IV,ASE
^JHSC-NV,ASE
^OILD-EU,ASE
^CPNQ-NV,ASE
DE000SL0D323.SG,STU
DE000SL0N124.SG,STU
EPAB4.PA,PAR
DE000SL0KFH7.SG,STU
^TOTR-TC,ASE
^CX451020PI,NIM
^NQUSS5520,NIM
Q4AS.Z,ZRH
Q7LE.Z,ZRH
S59T.SW,EBS
A94M.Z,ZRH
^VEU-TC,ASE
^SPQ-EU,ASE
^NQNA3030N,NIM
^UITB-TC,ASE
^DFANGT2X,NYS
Q37V.Z,ZRH
^GDOW,DJI
DE000SL0FCJ0.SG,STU
^NQUSB35102020LMT,NIM
AMG244.SW,EBS
STA57T.SW,EBS
^NQTH40,NIM
^NFGBGI,SNP
^SPCBMIRTKUSDH,SNP
^RMICICBTETR,WCB
^NQUSM4050N,NIM
Q5DD.Z,ZRH
^DISO-TC,ASE
DE000SL0KM06.SG,STU
MWIG40TRSH.WA,WSE
931484.SS,SHH
^IDCOT10TR,NYS
^SPBUYUP,SNP
^WTEPSTR,FGI
I1HS.DE,GER
DE000SL0L334.SG,STU
^GSPTTRE,TSI
^NQTH35T,NIM
^SPMCWH,SNP
DE000SL0JGE4.SG,STU
^NQEMMEA4510,NIM
^SP600-351010,SNP
DE000SL0F781.SG,STU
^PSCJ-IV,ASE
^WRND-EU,ASE
^TFLR-TC,ASE
^ZSB-TC,ASE
32Y7.Z,ZRH
^DAY,NIM
DE000SL0JXT7.SG,STU
DE000SL0JEV3.SG,STU
FPABG.PA,PAR
46YR.Z,ZRH
930614.SS,SHH
^QTPI-NV,ASE
^NYMCSEN,NYS
CESFHY.SS,SHH
^ERAEMAST,SNP
000909.SS,SHH
IX0186.TW,TAI
^SPSESUN,SNP
^R1ICBFOP,WCB
S71FCP.SW,EBS
DE000SL0DRQ8.SG,STU
^NQCA55,NIM
^NQNA5520LMT,NIM
00ZA.Z,ZRH
4037.Z,ZRH
DE000SL0B004.SG,STU
^SP400-151050,SNP
^IXUTR,NYS
^NQUS1300SMCT,NIM
^NQUSS30302020N,NIM
^IBGK-EU,ASE
SFM15D.SW,EBS
^HX20GI,NIM
^FXC-EU,ASE
Q5FI.Z,ZRH
^PBE-TC,ASE
^TOAK-EU,ASE
^XFLX-TC,ASE
931077.SS,SHH
^NYSACJPT,NYS
DE000SL0MM46.SG,STU
DE000SL0HAV5.SG,STU
WIKORFC.FGI,FGI
^EWL-NV,ASE
B3S.MC,MCE
^NQCL65N,NIM
^KMLM-EU,ASE
^SP600-25301010,SNP
^DWCFAD,DJI
DE000SL0KKZ9.SG,STU
Q1X0.Z,ZRH
^IWLG-IV,ASE
DE000SL0DY84.SG,STU
^NYSMIPLT,NYS
^CLDL-IV,ASE
SNA51D.SW,EBS
DE000SL0K7K5.SG,STU
^NQGB5020,NIM
^NQASIA45N,NIM
