Symbol
GBPSEK=X
CZKPLN=X
TRYDKX=X
CHFRSD=X
GBPAED=X
CLFEUR=X
PENBRX=X
KRWCRC=X
CADRSD=X
EUXHUF=X
PLNHUF=X
XAFUSD=X
GBPBOB=X
CADXPF=X
USYNOK=X
DKKISX=X
TRYCZX=X
IDRBRL=X
DKKPLN=X
HKDJPY=X
CHFPKR=X
TWDKRW=X
GBPAOA=X
RWFUSD=X
NPRMYX=X
CADPGK=X
CHFUYU=X
CLPUSD=X
NZDCZX=X
JPYDOP=X
OMRDKK=X
EURTTD=X
CHFBRL=X
CADIQD=X
EURMYR=X
GBPXPF=X
EURBZD=X
ISKPLX=X
CADBOB=X
CHFPEN=X
USYEUR=X
COPBRL=X
BWPJPY=X
EUR=X
MXNHKD=X
BRLROX=X
INRDKX=X
JPYMUR=X
CADGYD=X
EURCOP=X
GBPFKP=X
JPYSZL=X
SGDBRX=X
CHFMXN=X
BHD=X
ZARINR=X
GBPMZN=X
PKRINR=X
JPYCHF=X
MXNCAX=X
MXNHUX=X
AUXEUR=X
JPYTJS=X
EURKRW=X
GHSUSD=X
INRMYX=X
NZDILS=X
QARUSD=X
LYDBRX=X
BSDBRX=X
MMK=X
EURSGD=X
VNDINR=X
XCUKRW=X
AEDZAR=X
VNDTHB=X
BBDGBP=X
TRYDKK=X
CHFBGN=X
ZARCHF=X
CNHHKD=X
CZKEUR=X
TWD=X
JPYPKR=X
TMTBRX=X
TOPUSD=X
CZKAUD=X
XDRSGD=X
TWDSGD=X
EUXZAR=X
CHFEUR=X
CHFSHP=X
GBPNGN=X
XDRAMD=X
JPYSVC=X
TND=X
EURSVC=X
GMDGBP=X
KRWHKD=X
JPYXPF=X
BRLKRW=X
PHPINR=X
NADBRX=X
BWPGBP=X
KES=X
JPYBSD=X
EURNAD=X
EURRWF=X
XCUINR=X
EGPGBP=X
CHFAUD=X
CNYMYX=X
RUB=X
RON=X
XCUCNY=X
EURARS=X
XDRPLN=X
SARGBP=X
GBPSOS=X
KGSBRX=X
CADMMK=X
ISKROX=X
LKRJPY=X
PHPMYR=X
QARXDR=X
XDRBWP=X
SRDBRX=X
PHPJPY=X
CHFXPF=X
KRWTHX=X
HKDNOK=X
NADUSD=X
ZAREUR=X
BOB=X
UGXKRW=X
NOKSGD=X
AUDCAD=X
CADRWF=X
HKDUSD=X
JPYRON=X
EURRON=X
AMDBRX=X
NOK=X
SZLUSD=X
EUXIDR=X
GBPYER=X
AEDCAD=X
TWDSEK=X
CHFERN=X
ISKDKK=X
CZKHKD=X
CLP=X
AOABRX=X
SGDKWD=X
DKKUSD=X
PEN=X
AUDBSD=X
AUXJPY=X
NOKCAX=X
SGDPHP=X
GMDUSD=X
AUDAMD=X
OMR=X
JPYTHX=X
MADGBP=X
SARISX=X
CHFSZL=X
CHFCZX=X
GBPMGA=X
CHFMGA=X
NOKDKX=X
CHFFJD=X
ILSEUR=X
EURNOK=X
SGDUSD=X
EUXDKK=X
SEKCNY=X
LAKTHX=X
EURMGA=X
EUREGP=X
AEDPKR=X
CHFKYD=X
KESGBP=X
EURTMT=X
RUBHUX=X
CADRUB=X
KYDBRX=X
KZT=X
CNYCAD=X
THBCAD=X
VUV=X
SEKILS=X
STN=X
GBPSAR=X
CADGTQ=X
EURBMD=X
INRZAR=X
GHSIDR=X
CADTZS=X
JPYNAD=X
XDRGBP=X
XDRNOK=X
UMRMYR.SW
GBPXOF=X
CHFKES=X
AUDBHD=X
THBPKR=X
DKKTHX=X
MAD=X
NOKGBP=X
GHSINR=X
NADZAR=X
MMKMYX=X
EURANG=X
THBUSD=X
MXNDKK=X
HKDPLN=X
GBPCAD=X
USYTRY=X
HKDPKR=X
IRR=X
EURXPF=X
KRWTHB=X
AUDINR=X
GNF=X
ISKUSD=X
NZDEUR=X
RONRSD=X
THBNZD=X
ZARDKX=X
IDRCNY=X
SOSUSD=X
GBPERN=X
GBPDOP=X
AUDQAR=X
CHFXCD=X
CHFTMT=X
CADHTG=X
DKKCHF=X
NZD=X
RUBSGD=X
CHFCVE=X
AUXGBP=X
GBPTHB=X
IDRCAX=X
CHFBWP=X
DKKGIP=X
JPYSTN=X
KMFBRX=X
ZARZMW=X
AUXTHB=X
TRYXCU=X
JPYNIO=X
RSDHUX=X
XDRMXN=X
JPYSCR=X
HKDCNY=X
INRPKR=X
JPYXCD=X
CDFBRX=X
CADDKK=X
CHFTND=X
CADSAR=X
CADUSD=X
SGDDKK=X
SGDQAR=X
HNL=X
NGNGBP=X
EURVND=X
PLNTHX=X
UMRRUB.SW
BHDJPY=X
OMRJPY=X
GHSKRW=X
EURCUP=X
CNHUSD=X
KESZAR=X
USYSEK=X
CHFBND=X
KMFUSD=X
NOKPLN=X
ANGZAR=X
NIOUSD=X
LSLZAR=X
GBPAUD=X
ILSTHX=X
NGNJPY=X
JPYBIF=X
MXNAUD=X
ZARTHB=X
TWDINR=X
BRLEUR=X
CADMUR=X
MNT=X
NZDHUX=X
AUDBRX=X
CHFISX=X
AUDGBP=X
FKP=X
GBPHUF=X
IDRAUD=X
EURFKP=X
CLFBRX=X
ILSTWD=X
NOKAMD=X
GBPMDL=X
SEKNZD=X
STNUSD=X
ZARDKK=X
CHFSBD=X
BWP=X
MGABRX=X
CNHKRW=X
TWDCAD=X
CHFEGP=X
INRBRL=X
RUBGBP=X
XCUBHD=X
BGNHUX=X
ZARIDR=X
UMRHUF.SW
VND=X
BAMRSD=X
EGPJPY=X
EURAED=X
EUXILS=X
KRWCZX=X
DKX=X
GBPOMR=X
XAF=X
AUDMXN=X
KRWXCU=X
ZARSZL=X
CZKGBP=X
TZSBRX=X
AUDHUX=X
SEKXDR=X
CNYIDR=X
CADMZN=X
NPRTHX=X
JPYMNT=X
CADSRD=X
BHDUSD=X
NZDTWD=X
BRLCNY=X
JPYCLP=X
MKDBRX=X
EUXBRL=X
LKRAUD=X
EURMXX=X
HTGBRX=X
